Chord,Symbol,Quality,FormOrder,FormID,ShapeName,Fret1,Fret2,Fret3,Fret4,Fret5,Fret6,Finger1,Finger2,Finger3,Finger4,Finger5,Finger6,BarreFret,BarreFrom,BarreTo,Tips
GM7,GM7,M7,1,GM7-1-Open,Open,2,0,0,0,2,3,1,-,-,-,2,3,,,,"Gmaj7 open | Bright voicing"
GM7,GM7,M7,2,GM7-2-Root6,Root-6,3,3,4,4,5,3,1,1,2,3,4,1,3,1,6,"6th string root | Maj7 E-shape"
GM7,GM7,M7,3,GM7-3-Root5,Root-5,10,12,11,12,10,x,1,4,2,3,1,-,10,1,5,"5th string root | Maj7 A-shape"
GM7,GM7,M7,4,GM7-4-Root4,Root-4,7,7,7,5,x,x,3,2,4,1,-,-,,,,"4th string root | High position"
AM7,AM7,M7,1,AM7-1-Open,Open,0,2,1,2,0,x,-,3,1,2,-,-,,,,"Amaj7 open | Mellow sound"
AM7,AM7,M7,2,AM7-2-Root6,Root-6,5,5,6,6,7,5,1,1,2,3,4,1,5,1,6,"6th string root | Maj7 E-shape"
AM7,AM7,M7,3,AM7-3-Root5,Root-5,9,9,9,11,12,x,1,1,1,3,4,-,9,1,3,"5th string root | Maj7 (barre 1–3 @ 9f)"
AM7,AM7,M7,4,AM7-4-Root4,Root-4,9,9,9,7,x,x,3,2,4,1,-,-,,,,"4th string root | High position"
FM7,FM7,M7,1,FM7,Open,0,1,2,3,3,x,-,1,2,3,4,-,,,,"F major 7th | Upper string voicing"
FM7,FM7,M7,2,FM7-2-Root6,Root-6,1,1,2,2,3,1,1,1,2,3,4,1,1,1,6,"6th string root | Maj7 E-shape"
FM7,FM7,M7,3,FM7-3-Root5,Root-5,8,10,9,10,8,x,1,4,2,3,1,-,8,1,5,"5th string root | Maj7 A-shape"
FM7,FM7,M7,4,FM7-4-Root4,Root-4,5,5,5,3,x,x,3,2,4,1,-,-,,,,"4th string root | High position"
C,C,M,1,C-1-Open,Open,0,1,0,2,3,x,-,1,-,2,3,-,,,,"C major open | Beginner-friendly"
C,C,M,2,C-2-Root6,Root-6,8,8,9,10,10,8,1,1,2,3,4,1,8,1,6,"6th string root | E-shape barre"
C,C,M,3,C-3-Root5,Root-5,3,5,5,5,3,x,1,3,4,2,1,-,3,1,5,"5th string root | A-shape barre"
D,D,M,1,D-1-Open,Open,2,3,2,0,x,x,1,3,2,-,-,-,,, ,"D major open | Bright sound"
D,D,M,2,D-2-Root6,Root-6,10,10,11,12,12,10,1,1,2,3,4,1,10,1,6,"6th string root | E-shape barre"
D,D,M,3,D-3-Root5,Root-5,5,7,7,7,5,x,1,3,4,2,1,-,5,1,5,"5th string root | A-shape barre"
E,E,M,1,E-1-Open,Open,0,0,1,2,2,0,-,-,1,3,2,-,,,,"E major open | Full, rich sound"
E,E,M,2,E-2-Root6,Root-6,12,12,13,14,14,12,1,1,2,3,4,1,12,1,6,"6th string root | E-shape barre"
E,E,M,3,E-3-Root5,Root-5,7,9,9,9,7,x,1,3,4,2,1,-,7,1,5,"5th string root | A-shape barre"
G,G,M,1,G-1-Open,Open,3,0,0,0,2,3,3,-,-,-,1,2,-,,,,"G major open | Full-bodied"
G,G,M,2,G-2-Root6,Root-6,3,3,4,5,5,3,1,1,2,3,4,1,3,1,6,"6th string root | E-shape barre"
G,G,M,3,G-3-Root5,Root-5,10,12,12,12,10,x,1,3,4,2,1,-,10,1,5,"5th string root | A-shape barre"
A,A,M,1,A-1-Open,Open,0,2,2,2,0,x,-,2,3,1,-,-,,, ,"A major open | Powerful sound"
A,A,M,2,A-2-Root6,Root-6,5,5,6,7,7,5,1,1,2,3,4,1,5,1,6,"6th string root | E-shape barre"
A,A,M,3,A-3-Root5,Root-5,12,14,14,14,12,x,1,3,4,2,1,-,12,1,5,"5th string root | A-shape barre"
Am,Am,m,1,Am-1-Open,Open,0,1,2,2,0,x,-,1,3,2,-,-,,,,"A minor open | Melancholic"
Am,Am,m,2,Am-2-Root6,Root-6,5,5,5,7,7,5,1,1,1,3,4,1,5,1,6,"6th string root | E-shape minor barre"
Am,Am,m,3,Am-3-Root5,Root-5,12,13,14,14,12,x,1,2,3,4,1,-,12,1,5,"5th string root | A-shape minor barre"
Dm,Dm,m,1,Dm-1-Open,Open,1,3,2,0,x,x,1,3,2,-,-,-,,,,"D minor open | Compact"
Dm,Dm,m,2,Dm-2-Root6,Root-6,10,10,10,12,12,10,1,1,1,3,4,1,10,1,6,"6th string root | E-shape minor barre"
Dm,Dm,m,3,Dm-3-Root5,Root-5,5,6,7,7,5,x,1,2,3,4,1,-,5,1,5,"5th string root | A-shape minor barre"
Em,Em,m,1,Em-1-Open,Open,0,0,0,2,2,0,-,-,-,2,3,-,,,,"E minor open | Beautiful resonance"
Em,Em,m,2,Em-2-Root6,Root-6,12,12,12,14,14,12,1,1,1,3,4,1,12,1,6,"6th string root | E-shape minor barre"
Em,Em,m,3,Em-3-Root5,Root-5,7,8,9,9,7,x,1,2,3,4,1,-,7,1,5,"5th string root | A-shape minor barre"
C,C,M,99,C-5-Triad1,Triad-1,3,5,5,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
C,C,M,99,C-6-Triad2,Triad-2,x,8,9,10,x,x,-,1,2,3,-,-,,,,Triad extracted from iOS (Triad-2)
C#,C#,M,99,C#-4-Triad1,Triad-1,4,6,6,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
C#,C#,M,99,C#-5-Triad2,Triad-2,x,9,10,11,x,x,-,1,2,3,-,-,,,,Triad extracted from iOS (Triad-2)
D,D,M,99,D-5-Triad1,Triad-1,5,7,7,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
D,D,M,99,D-6-Triad2,Triad-2,x,10,11,12,x,x,-,1,2,3,-,-,,,,Triad extracted from iOS (Triad-2)
D#,D#,M,99,D#-4-Triad1,Triad-1,6,8,8,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
D#,D#,M,99,D#-5-Triad2,Triad-2,x,11,12,13,x,x,-,1,2,3,-,-,,,,Triad extracted from iOS (Triad-2)
Cm,Cm,m,99,Cm-5-Triad1,Triad-1,3,4,5,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
Cm,Cm,m,99,Cm-6-Triad2,Triad-2,x,8,8,10,x,x,-,1,1,3,-,-,,,,Triad extracted from iOS (Triad-2)
C#m,C#m,m,99,C#m-4-Triad1,Triad-1,4,5,6,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
C#m,C#m,m,99,C#m-5-Triad2,Triad-2,x,9,9,11,x,x,-,1,1,3,-,-,,,,Triad extracted from iOS (Triad-2)
Dm,Dm,m,99,Dm-5-Triad1,Triad-1,5,6,7,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
Dm,Dm,m,99,Dm-6-Triad2,Triad-2,x,10,10,12,x,x,-,1,1,3,-,-,,,,Triad extracted from iOS (Triad-2)
D#m,D#m,m,99,D#m-4-Triad1,Triad-1,6,7,8,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
D#m,D#m,m,99,D#m-5-Triad2,Triad-2,x,x,3,4,6,x,-,-,1,2,4,-,,,,Triad extracted from iOS (Triad-2)
Em,Em,m,99,Em-5-Triad1,Triad-1,7,8,9,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
Em,Em,m,99,Em-6-Triad2,Triad-2,x,12,12,14,x,x,-,1,1,3,-,-,,,,Triad extracted from iOS (Triad-2)
E,E,M,99,E-5-Triad1,Triad-1,7,9,9,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
E,E,M,99,E-6-Triad2,Triad-2,x,12,13,14,x,x,-,1,2,3,-,-,,,,Triad extracted from iOS (Triad-2)
Fm,Fm,m,99,Fm-4-Triad1,Triad-1,8,9,10,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
Fm,Fm,m,99,Fm-5-Triad2,Triad-2,x,1,1,3,x,x,-,1,1,3,-,-,,,,Triad extracted from iOS (Triad-2)
F,F,M,99,F-4-Triad1,Triad-1,8,10,10,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
F,F,M,99,F-5-Triad2,Triad-2,x,1,2,3,x,x,-,1,2,3,-,-,,,,Triad extracted from iOS (Triad-2)
F#m,F#m,m,99,F#m-4-Triad1,Triad-1,9,10,11,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
F#m,F#m,m,99,F#m-5-Triad2,Triad-2,x,2,2,4,x,x,-,1,1,3,-,-,,,,Triad extracted from iOS (Triad-2)
F#,F#,M,99,F#-4-Triad1,Triad-1,9,11,11,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
F#,F#,M,99,F#-5-Triad2,Triad-2,x,2,3,4,x,x,-,1,2,3,-,-,,,,Triad extracted from iOS (Triad-2)
Gm,Gm,m,99,Gm-4-Triad1,Triad-1,10,11,12,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
Gm,Gm,m,99,Gm-5-Triad2,Triad-2,x,3,3,5,x,x,-,1,1,3,-,-,,,,Triad extracted from iOS (Triad-2)
G,G,M,99,G-5-Triad1,Triad-1,10,12,12,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
G,G,M,99,G-6-Triad2,Triad-2,x,3,4,5,x,x,-,1,2,3,-,-,,,,Triad extracted from iOS (Triad-2)
G#m,G#m,m,99,G#m-4-Triad1,Triad-1,11,12,13,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
G#m,G#m,m,99,G#m-5-Triad2,Triad-2,x,4,4,6,x,x,-,1,1,3,-,-,,,,Triad extracted from iOS (Triad-2)
G#,G#,M,99,G#-4-Triad1,Triad-1,11,13,13,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
G#,G#,M,99,G#-5-Triad2,Triad-2,x,4,5,6,x,x,-,1,2,3,-,-,,,,Triad extracted from iOS (Triad-2)
Am,Am,m,99,Am-5-Triad1,Triad-1,12,13,14,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
Am,Am,m,99,Am-6-Triad2,Triad-2,x,5,5,7,x,x,-,1,1,3,-,-,,,,Triad extracted from iOS (Triad-2)
A,A,M,99,A-5-Triad1,Triad-1,12,14,14,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
A,A,M,99,A-6-Triad2,Triad-2,x,5,6,7,x,x,-,1,2,3,-,-,,,,Triad extracted from iOS (Triad-2)
Bm,Bm,m,99,Bm-4-Triad1,Triad-1,2,3,4,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
Bm,Bm,m,99,Bm-5-Triad2,Triad-2,x,7,7,9,x,x,-,1,1,3,-,-,,,,Triad extracted from iOS (Triad-2)
B,B,M,99,B-4-Triad1,Triad-1,2,4,4,x,x,x,1,2,3,-,-,-,,,,Triad extracted from iOS (Triad-1)
B,B,M,99,B-5-Triad2,Triad-2,x,7,8,9,x,x,-,1,2,3,-,-,,,,Triad extracted from iOS (Triad-2)

